step,tokens_seen,epoch_frac,loss,perplexity,z_loss,lr_muon,lr_adamw,grad_norm_muon,grad_norm_adamw,gdn_grad_norm,swa_grad_norm,gqa_grad_norm,tokens_per_sec,gpu_mem_mb,peak_gpu_mem_mb,elapsed_s
10,2620160,0.00027,11.10858,65897.333,0.0127304,0.00035971223021582735,5.39568345323741e-06,5.956613063812256,0.7200592160224915,1.6367500199394436,0.0,0.0,20179.3,1996.4,9105.1,132.3
20,5240320,0.00054,10.48135,35192.453,0.0127606,0.0007194244604316547,1.079136690647482e-05,6.230313301086426,0.9326099157333374,1.167880206083795,0.0,0.0,20559.2,1996.4,9105.1,259.6
30,7860480,0.00081,9.82268,18211.996,0.0128393,0.001079136690647482,1.618705035971223e-05,4.063545227050781,0.7487850785255432,0.6264514534645925,0.0,0.0,20562.8,1996.4,9105.1,387.1
40,10480640,0.00108,9.29008,10690.895,0.0129353,0.0014388489208633094,2.158273381294964e-05,2.209486961364746,0.6339980363845825,0.4189309507666984,0.0,0.0,20561.4,1996.4,9105.1,514.4
50,13100800,0.00135,8.84563,6854.179,0.0130134,0.0017985611510791366,2.6978417266187048e-05,2.459989309310913,0.5626110434532166,0.4253520244906807,0.0,0.0,20539.0,1996.4,9105.1,641.9
60,15720960,0.00162,8.43414,4542.389,0.0129313,0.002158273381294964,3.237410071942446e-05,2.8097517490386963,0.5070237517356873,0.5033884759228643,0.0,0.0,20560.6,1996.4,9105.1,769.2
70,18341120,0.00189,8.02451,3015.556,0.0129685,0.002517985611510791,3.776978417266187e-05,2.9260642528533936,0.6123158931732178,0.6236047128967216,0.0,0.0,20560.4,1996.4,9105.1,896.7
80,20961280,0.00216,7.71744,2218.715,0.0127531,0.0028776978417266188,4.316546762589928e-05,2.3257052898406982,0.5978068113327026,0.6206894760691596,0.0,0.0,20558.9,1996.4,9105.1,1024.2
90,23581440,0.00243,7.39076,1600.291,0.0128224,0.003237410071942446,4.856115107913669e-05,2.020449638366699,0.41976824402809143,0.5547239365049436,0.0,0.0,20556.4,1996.4,9105.1,1151.5
100,26201600,0.0027,7.06725,1158.093,0.0127221,0.003597122302158273,5.3956834532374096e-05,1.8079501390457153,0.44943585991859436,0.5066141514039416,0.0,0.0,20566.8,1996.4,9105.1,1279.0
110,28821760,0.00297,6.91908,998.591,0.0127371,0.003956834532374101,5.9352517985611506e-05,1.6208672523498535,0.3965083956718445,0.4826589252746922,0.0,0.0,20563.5,1996.4,9105.1,1406.5
120,31441920,0.00324,6.63493,751.381,0.0130148,0.004316546762589928,6.474820143884892e-05,1.6446161270141602,0.3024119436740875,0.4848087293637659,0.0,0.0,20570.3,1996.4,9105.1,1533.8
130,34062080,0.00351,6.50652,660.762,0.013121,0.004676258992805755,7.014388489208632e-05,1.5806578397750854,0.3146394193172455,0.4951707081277024,0.0,0.0,20567.7,1996.4,9105.1,1667.4
140,36682240,0.00378,6.38766,586.703,0.0131378,0.005035971223021582,7.553956834532374e-05,1.1707450151443481,0.2621881067752838,0.3782374905199256,0.0,0.0,20568.4,1996.4,9105.1,1794.7
150,39302400,0.00405,6.18304,477.948,0.0135324,0.00539568345323741,8.093525179856114e-05,1.0850493907928467,0.3336719870567322,0.3573490712237719,0.0,0.0,20560.5,1996.4,9105.1,1922.2
160,41922560,0.00431,6.11368,445.898,0.0135948,0.0057553956834532375,8.633093525179855e-05,1.023052453994751,0.2825220227241516,0.346599938858229,0.0,0.0,20558.3,1996.4,9105.1,2049.7
170,44542720,0.00458,6.06565,424.982,0.0136065,0.006115107913669065,9.172661870503596e-05,1.1744017601013184,0.24927006661891937,0.36280242923133454,0.0,0.0,20557.5,1996.4,9105.1,2177.1
180,47162880,0.00485,5.95087,378.82,0.0138123,0.006474820143884892,9.712230215827337e-05,0.9422124028205872,0.26542237401008606,0.30596453057834033,0.0,0.0,20568.0,1996.4,9105.1,2304.6
190,49783040,0.00512,5.79017,322.548,0.013916,0.006834532374100719,0.00010251798561151078,0.9246447086334229,0.28877636790275574,0.31681951342567016,0.0,0.0,20557.8,1996.4,9105.1,2431.9
200,52403200,0.00539,5.7528,310.706,0.0139505,0.007194244604316546,0.00010791366906474819,0.8309577107429504,0.2584826350212097,0.3019541938281644,0.0,0.0,20547.0,1996.4,9105.1,2559.4
210,55023360,0.00566,5.51295,244.29,0.0145896,0.007553956834532374,0.0001133093525179856,0.7516518235206604,0.23557746410369873,0.3020406645598166,0.0,0.0,20550.0,1996.4,9105.1,2686.8
220,57643520,0.00593,5.56944,258.485,0.0146073,0.007913669064748202,0.00011870503597122301,0.6218111515045166,0.2117534577846527,0.24702800276068743,0.0,0.0,20551.1,1996.4,9105.1,2814.3
230,60263680,0.0062,5.469,233.745,0.0147716,0.008273381294964029,0.00012410071942446042,0.6802685856819153,0.18279634416103363,0.2763131185253917,0.0,0.0,20559.3,1996.4,9105.1,2941.9
240,62883840,0.00647,5.38857,215.707,0.0146468,0.008633093525179856,0.00012949640287769783,0.6803062558174133,0.20842011272907257,0.27807532660914874,0.0,0.0,20555.9,1996.4,9105.1,3069.2
250,65504000,0.00674,5.44654,228.551,0.0147791,0.008992805755395683,0.00013489208633093522,0.6049618721008301,0.18968939781188965,0.24056931455331643,0.0,0.0,20555.2,1996.4,9105.1,3196.7
260,68124160,0.00701,5.2904,195.465,0.0150202,0.00935251798561151,0.00014028776978417264,0.5812965035438538,0.225638747215271,0.22149263280090653,0.0,0.0,20565.0,1996.4,9105.1,3331.2
270,70744320,0.00728,5.31104,199.5,0.0152294,0.009712230215827337,0.00014568345323741005,0.5588458776473999,0.1589944213628769,0.225238493506164,0.0,0.0,20557.4,1996.4,9105.1,3458.7
280,73364480,0.00755,5.15285,170.276,0.0154281,0.010071942446043165,0.00015107913669064747,0.5282954573631287,0.14890643954277039,0.2114146203583179,0.0,0.0,20559.6,1996.4,9105.1,3586.2
290,75984640,0.00782,5.03562,151.394,0.0157346,0.010431654676258992,0.00015647482014388486,0.554180383682251,0.14237995445728302,0.23867340903644804,0.0,0.0,20555.5,1996.4,9105.1,3713.6
300,78604800,0.00809,5.06423,155.799,0.0156581,0.01079136690647482,0.00016187050359712228,0.4041547179222107,0.15530142188072205,0.17672930518943722,0.0,0.0,20556.1,1996.4,9105.1,3841.1
310,81224960,0.00836,5.02938,150.442,0.0158034,0.011151079136690648,0.0001672661870503597,0.4338829815387726,0.1788073182106018,0.17443453868407338,0.0,0.0,20560.9,1996.4,9105.1,3968.5
320,83845120,0.00863,4.7756,116.672,0.0162333,0.011510791366906475,0.0001726618705035971,0.5102124810218811,0.15690961480140686,0.20797024497867392,0.0,0.0,20551.0,1996.4,9105.1,4096.1
330,86465280,0.0089,4.88371,129.994,0.0162212,0.011870503597122302,0.0001780575539568345,0.5183011889457703,0.20594151318073273,0.20672447269895963,0.0,0.0,20543.2,1996.4,9105.1,4223.5
340,89085440,0.00917,4.73838,112.402,0.0162981,0.01223021582733813,0.00018345323741007191,0.44802913069725037,0.1651175320148468,0.18277034977390103,0.0,0.0,20549.2,1996.4,9105.1,4351.1
350,91705600,0.00944,4.58832,96.705,0.0166557,0.012589928057553957,0.00018884892086330933,0.4829675555229187,0.1330137550830841,0.19238307903254695,0.0,0.0,20547.8,1996.4,9105.1,4478.6
360,94325760,0.00971,4.68458,106.494,0.0164917,0.012949640287769784,0.00019424460431654675,0.5117216110229492,0.13502107560634613,0.19409971661828768,0.0,0.0,20555.8,1996.4,9105.1,4606.0
370,96945920,0.00998,4.58543,96.415,0.0167616,0.013309352517985611,0.00019964028776978414,0.5023098587989807,0.1804773360490799,0.1977395263584252,0.0,0.0,20543.8,1996.4,9105.1,4733.6
380,99566080,0.01025,4.54341,92.457,0.0166712,0.013669064748201438,0.00020503597122302155,0.41457661986351013,0.15425075590610504,0.18800321233810238,0.0,0.0,20550.2,1996.4,9105.1,4867.2
390,102186240,0.01052,4.52834,91.063,0.0167881,0.014028776978417265,0.00021043165467625897,0.4893909990787506,0.17721650004386902,0.20263856179238593,0.0,0.0,20554.3,1996.4,9105.1,4994.7
400,104806400,0.01079,4.45839,84.908,0.0168243,0.014388489208633093,0.00021582733812949639,0.3761134147644043,0.17041245102882385,0.16960385836147215,0.0,0.0,20551.1,1996.4,9105.1,5122.2
410,107426560,0.01106,4.32761,74.451,0.0174605,0.01474820143884892,0.00022122302158273378,0.3779006600379944,0.1269582062959671,0.17220501225397264,0.0,0.0,20556.3,1996.4,9105.1,5249.6
420,110046720,0.01133,4.39327,79.523,0.0172214,0.015107913669064749,0.0002266187050359712,0.3585566580295563,0.13391248881816864,0.1525810258757271,0.0,0.0,20558.7,1996.4,9105.1,5377.1
430,112666880,0.0116,4.31852,73.779,0.0174448,0.015467625899280576,0.0002320143884892086,0.3508763015270233,0.1483747959136963,0.14994089222763474,0.0,0.0,20555.9,1996.4,9105.1,5504.5
440,115287040,0.01187,4.41023,80.869,0.0173936,0.015827338129496403,0.00023741007194244602,0.3781256079673767,0.17457972466945648,0.1687387771880068,0.0,0.0,20553.5,1996.4,9105.1,5632.0
450,117907200,0.01214,4.60507,98.298,0.0170631,0.01618705035971223,0.00024280575539568341,0.3386451005935669,0.14209333062171936,0.15108400405136546,0.0,0.0,20548.9,1996.4,9105.1,5759.5
460,120527360,0.01241,4.25576,69.258,0.0179259,0.016546762589928057,0.00024820143884892083,0.35864710807800293,0.1341031938791275,0.15794026393158161,0.0,0.0,20553.4,1996.4,9105.1,5886.9
470,123147520,0.01268,4.24471,68.49,0.0180149,0.016906474820143885,0.00025359712230215825,0.2867964208126068,0.10974767059087753,0.13225988558757706,0.0,0.0,20557.7,1996.4,9105.1,6014.5
480,125767680,0.01294,4.11009,59.854,0.0181823,0.017266187050359712,0.00025899280575539566,0.29956555366516113,0.12653905153274536,0.14603885284823057,0.0,0.0,20548.9,1996.4,9105.1,6141.9
490,128387840,0.01321,4.39132,79.341,0.0175645,0.01762589928057554,0.0002643884892086331,0.28359952569007874,0.14708271622657776,0.141440615575703,0.0,0.0,20553.7,1996.4,9105.1,6269.4
500,131008000,0.01348,4.24599,68.589,0.0178626,0.017985611510791366,0.00026978417266187044,0.29025352001190186,0.1388414055109024,0.13201109146100667,0.0,0.0,20549.4,1996.4,9105.1,6396.8
510,133628160,0.01375,4.19443,65.119,0.0182088,0.018345323741007193,0.00027517985611510786,0.28269150853157043,0.12032978981733322,0.13822185569331874,0.0,0.0,20554.0,1996.4,9105.1,6531.3
520,136248320,0.01402,4.26854,70.147,0.017946,0.01870503597122302,0.0002805755395683453,0.27618107199668884,0.14207610487937927,0.135558999091886,0.0,0.0,20555.3,1996.4,9105.1,6658.9
530,138868480,0.01429,4.12818,60.931,0.0184336,0.019064748201438848,0.0002859712230215827,0.2415032833814621,0.13874304294586182,0.12395866170032098,0.0,0.0,20545.8,1996.4,9105.1,6786.3
540,141488640,0.01456,4.08134,58.14,0.0184954,0.019424460431654675,0.0002913669064748201,0.2317640632390976,0.1263114959001541,0.12166334630509235,0.0,0.0,20551.3,1996.4,9105.1,6913.8
550,144108800,0.01483,4.17026,63.555,0.0183454,0.019784172661870502,0.0002967625899280575,0.22571247816085815,0.12264103442430496,0.11696938911614987,0.0,0.0,20552.2,1996.4,9105.1,7041.3
560,146728960,0.0151,4.14029,61.672,0.0184588,0.01999999946730874,0.0002999999920096311,0.23039735853672028,0.1284472644329071,0.11809809381155453,0.0,0.0,20547.3,1996.4,9105.1,7168.8
570,149349120,0.01537,3.99083,53.088,0.0188727,0.01999999347453282,0.00029999990211799224,0.2565651535987854,0.12155898660421371,0.1512890066953143,0.0,0.0,20552.9,1996.4,9105.1,7296.3
580,151969280,0.01564,4.0764,57.828,0.0189273,0.019999980823121346,0.00029999971234682016,0.20747603476047516,0.11832617968320847,0.11952919998715038,0.0,0.0,20548.2,1996.4,9105.1,7423.8
